,car name,weight
262,chevrolet monte carlo landau,3425
263,buick regal sport coupe (turbo),3445
264,ford futura,3205
265,dodge magnum xe,4080
266,chevrolet chevette,2155
267,toyota corona,2560
268,datsun 510,2300
269,dodge omni,2230
270,toyota celica gt liftback,2515
271,plymouth sapporo,2745
272,oldsmobile starfire sx,2855
273,datsun 200-sx,2405
274,audi 5000,2830
275,volvo 264gl,3140
276,saab 99gle,2795
277,peugeot 604sl,3410
278,volkswagen scirocco,1990
279,honda accord lx,2135
280,pontiac lemans v6,3245
281,mercury zephyr 6,2990
282,ford fairmont 4,2890
283,amc concord dl 6,3265
284,dodge aspen 6,3360
285,chevrolet caprice classic,3840
286,ford ltd landau,3725
287,mercury grand marquis,3955
288,dodge st. regis,3830
289,buick estate wagon (sw),4360
290,ford country squire (sw),4054
291,chevrolet malibu classic (sw),3605
292,chrysler lebaron town @ country (sw),3940
293,vw rabbit custom,1925
294,maxda glc deluxe,1975
295,dodge colt hatchback custom,1915
296,amc spirit dl,2670
297,mercedes benz 300d,3530
298,cadillac eldorado,3900
299,peugeot 504,3190
300,oldsmobile cutlass salon brougham,3420
301,plymouth horizon,2200
302,plymouth horizon tc3,2150
303,datsun 210,2020
304,fiat strada custom,2130
305,buick skylark limited,2670
306,chevrolet citation,2595
307,oldsmobile omega brougham,2700
308,pontiac phoenix,2556
309,vw rabbit,2144
310,toyota corolla tercel,1968
311,chevrolet chevette,2120
312,datsun 310,2019
313,chevrolet citation,2678
314,ford fairmont,2870
315,amc concord,3003
316,dodge aspen,3381
317,audi 4000,2188
318,toyota corona liftback,2711
319,mazda 626,2542
320,datsun 510 hatchback,2434
321,toyota corolla,2265
322,mazda glc,2110
323,dodge colt,2800
324,datsun 210,2110
325,vw rabbit c (diesel),2085
326,vw dasher (diesel),2335
327,audi 5000s (diesel),2950
328,mercedes-benz 240d,3250
329,honda civic 1500 gl,1850
330,renault lecar deluxe,1835
331,subaru dl,2145
332,vokswagen rabbit,1845
333,datsun 280-zx,2910
334,mazda rx-7 gs,2420
335,triumph tr7 coupe,2500
336,ford mustang cobra,2905
337,honda accord,2290
338,plymouth reliant,2490
339,buick skylark,2635
340,dodge aries wagon (sw),2620
341,chevrolet citation,2725
342,plymouth reliant,2385
343,toyota starlet,1755
344,plymouth champ,1875
345,honda civic 1300,1760
346,subaru,2065
347,datsun 210 mpg,1975
348,toyota tercel,2050
349,mazda glc 4,1985
350,plymouth horizon 4,2215
351,ford escort 4w,2045
352,ford escort 2h,2380
353,volkswagen jetta,2190
354,renault 18i,2320
355,honda prelude,2210
356,toyota corolla,2350
357,datsun 200sx,2615
358,mazda 626,2635
359,peugeot 505s turbo diesel,3230
360,volvo diesel,3160
361,toyota cressida,2900
362,datsun 810 maxima,2930
363,buick century,3415
364,oldsmobile cutlass ls,3725
365,ford granada gl,3060
366,chrysler lebaron salon,3465
367,chevrolet cavalier,2605
368,chevrolet cavalier wagon,2640
369,chevrolet cavalier 2-door,2395
370,pontiac j2000 se hatchback,2575
371,dodge aries se,2525
372,pontiac phoenix,2735
373,ford fairmont futura,2865
374,amc concord dl,3035
375,volkswagen rabbit l,1980
376,mazda glc custom l,2025
377,mazda glc custom,1970
378,plymouth horizon miser,2125
379,mercury lynx l,2125
380,nissan stanza xe,2160
381,honda accord,2205
382,toyota corolla,2245
383,honda civic,1965
384,honda civic (auto),1965
385,datsun 310 gx,1995
386,buick century limited,2945
387,oldsmobile cutlass ciera (diesel),3015
388,chrysler lebaron medallion,2585
389,ford granada l,2835
390,toyota celica gt,2665
391,dodge charger 2.2,2370
392,chevrolet camaro,2950
393,ford mustang gl,2790
394,vw pickup,2130
395,dodge rampage,2295
396,ford ranger,2625
397,chevy s-10,2720
