satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
0.41,540.0,two,152.0,3+,no,yes,no,technical,low
0.87,880.0,five,269.0,5+,no,yes,no,technical,low
0.45,480.0,two,158.0,3+,no,yes,no,technical,low
0.4,460.0,two,127.0,3+,no,yes,no,technical,low
0.1,800.0,seven,281.0,4+,no,yes,no,technical,low
0.09,890.0,six,276.0,4+,no,yes,no,technical,low
0.84,740.0,three,182.0,4+,no,yes,no,technical,low
0.4,550.0,two,147.0,3+,no,yes,no,support,low
0.57,700.0,three,273.0,6+,no,yes,no,support,low
0.4,540.0,two,148.0,3+,no,yes,no,support,low
0.43,470.0,two,147.0,3+,no,yes,no,support,low
0.13,780.0,six,152.0,2+,no,yes,no,support,low
0.44,550.0,two,135.0,3+,no,yes,no,support,low
0.38,550.0,two,134.0,3+,no,yes,no,support,low
0.39,540.0,two,132.0,3+,no,yes,no,support,low
0.1,920.0,seven,307.0,4+,no,yes,no,support,low
0.37,460.0,two,140.0,3+,no,yes,no,support,low
0.11,940.0,seven,255.0,4+,no,yes,no,support,low
0.1,810.0,six,309.0,4+,no,yes,no,technical,low
0.38,540.0,two,128.0,3+,no,yes,no,technical,low
0.85,1000.0,four,225.0,5+,no,yes,no,technical,low
0.85,910.0,five,226.0,5+,no,yes,no,management,medium
0.11,930.0,seven,308.0,4+,no,yes,no,IT,medium
0.1,950.0,six,244.0,5+,no,yes,no,IT,medium
0.36,560.0,two,132.0,3+,no,yes,no,IT,medium
0.11,940.0,six,286.0,4+,no,yes,no,IT,medium
0.81,700.0,six,161.0,4+,no,yes,no,IT,medium
0.43,540.0,two,153.0,3+,no,yes,no,product_mng,medium
0.9,980.0,four,264.0,6+,no,yes,no,product_mng,medium
0.76,860.0,five,223.0,5+,yes,yes,no,product_mng,medium
0.43,500.0,two,135.0,3+,no,yes,no,product_mng,medium
0.74,990.0,two,277.0,3+,no,yes,no,IT,medium
0.09,770.0,five,275.0,4+,no,yes,no,product_mng,medium
0.45,490.0,two,149.0,3+,no,yes,no,product_mng,high
0.09,870.0,seven,295.0,4+,no,yes,no,product_mng,low
0.11,970.0,six,277.0,4+,no,yes,no,product_mng,medium
0.11,790.0,seven,306.0,4+,no,yes,no,product_mng,medium
0.1,830.0,six,295.0,4+,no,yes,no,product_mng,medium
0.4,540.0,two,137.0,3+,no,yes,no,marketing,medium
0.43,560.0,two,157.0,3+,no,yes,no,sales,low
0.39,560.0,two,142.0,3+,no,yes,no,accounting,low
0.45,540.0,two,140.0,3+,no,yes,no,support,low
0.38,490.0,two,151.0,3+,no,yes,no,technical,low
0.79,590.0,four,139.0,3+,no,yes,yes,management,low
0.84,850.0,four,249.0,6+,no,yes,no,marketing,low
0.11,770.0,six,291.0,4+,no,yes,no,marketing,low
0.11,870.0,six,305.0,4+,no,yes,no,marketing,low
0.17,840.0,five,232.0,3+,no,yes,no,sales,low
0.44,450.0,two,132.0,3+,no,yes,no,sales,low
0.37,570.0,two,130.0,3+,no,yes,no,sales,low
0.1,790.0,six,291.0,4+,no,yes,no,sales,low
0.4,500.0,two,130.0,3+,no,yes,no,sales,low
0.89,1000.0,five,246.0,5+,no,yes,no,sales,low
0.42,480.0,two,143.0,3+,no,yes,no,sales,low
0.46,550.0,two,129.0,3+,no,yes,no,sales,low
0.09,830.0,six,255.0,4+,no,yes,no,sales,low
0.37,510.0,two,155.0,3+,no,yes,no,sales,low
0.1,770.0,six,265.0,4+,no,yes,no,sales,low
0.1,840.0,six,279.0,4+,no,yes,no,sales,low
0.11,970.0,six,284.0,4+,no,yes,no,sales,low
0.9,1000.0,five,221.0,6+,no,yes,no,sales,medium
0.38,520.0,two,154.0,3+,no,yes,no,sales,medium
0.36,520.0,two,147.0,3+,no,yes,no,sales,medium
0.42,460.0,two,150.0,3+,no,yes,no,sales,medium
0.09,940.0,seven,267.0,4+,no,yes,no,sales,medium
0.43,520.0,two,158.0,3+,no,yes,no,sales,medium
0.24,460.0,seven,224.0,5+,no,yes,no,accounting,medium
0.91,1000.0,four,257.0,5+,no,yes,no,accounting,medium
0.44,500.0,two,148.0,3+,no,yes,no,accounting,medium
0.71,870.0,three,177.0,4+,no,yes,no,hr,medium
0.4,490.0,two,155.0,3+,no,yes,no,hr,medium
0.43,470.0,two,144.0,3+,no,yes,no,hr,medium
0.09,850.0,six,289.0,4+,no,yes,no,hr,high
0.43,520.0,two,160.0,3+,no,yes,no,technical,low
0.9,960.0,four,258.0,5+,no,yes,no,technical,medium
0.84,1000.0,five,234.0,5+,no,yes,no,technical,medium
0.37,480.0,two,137.0,3+,no,yes,no,technical,medium
0.86,680.0,five,263.0,2+,no,yes,no,technical,medium
0.11,840.0,six,251.0,4+,no,yes,no,technical,low
0.37,570.0,two,133.0,3+,no,yes,no,technical,low
0.4,460.0,two,132.0,3+,no,yes,no,technical,low
0.14,620.0,four,158.0,4+,yes,yes,no,technical,low
0.4,460.0,two,135.0,3+,no,yes,no,technical,low
0.75,1000.0,four,216.0,6+,no,yes,no,technical,low
0.11,840.0,six,300.0,5+,yes,yes,no,support,low
0.46,490.0,two,138.0,3+,no,yes,no,support,low
0.11,920.0,six,260.0,4+,no,yes,no,support,low
0.38,490.0,two,132.0,3+,no,yes,no,support,low
0.7,890.0,three,183.0,5+,no,yes,no,support,low
0.09,820.0,six,250.0,4+,no,yes,no,support,low
0.37,450.0,two,151.0,3+,no,yes,no,support,low
0.1,830.0,six,292.0,4+,no,yes,no,support,low
0.38,570.0,two,140.0,3+,no,yes,no,support,low
0.9,1000.0,five,221.0,5+,no,yes,no,support,low
0.44,510.0,two,138.0,3+,no,yes,no,support,low
0.36,500.0,two,132.0,3+,no,yes,no,technical,low
0.31,840.0,seven,133.0,5+,no,yes,no,technical,low
0.1,840.0,six,283.0,4+,yes,yes,no,technical,low
0.42,480.0,two,129.0,3+,no,yes,no,management,low
0.74,1000.0,four,249.0,5+,no,yes,no,IT,low
0.73,870.0,five,257.0,5+,no,yes,no,IT,low
0.09,960.0,six,245.0,4+,no,yes,no,IT,low
0.45,530.0,two,155.0,3+,no,yes,no,IT,low
0.11,800.0,six,256.0,4+,no,yes,no,IT,low
0.37,470.0,two,152.0,3+,no,yes,no,product_mng,low
0.84,990.0,four,267.0,5+,no,yes,no,product_mng,low
0.41,460.0,two,151.0,3+,no,yes,no,product_mng,low
0.76,920.0,four,239.0,5+,no,yes,no,product_mng,low
0.11,870.0,six,306.0,4+,no,yes,no,IT,low
0.84,880.0,four,263.0,5+,yes,yes,no,marketing,low
0.39,500.0,two,147.0,3+,no,yes,no,marketing,low
0.11,910.0,six,278.0,4+,no,yes,no,marketing,low
0.45,560.0,two,154.0,3+,no,yes,no,marketing,low
0.37,520.0,two,143.0,3+,no,yes,no,marketing,low
0.4,520.0,two,155.0,3+,no,yes,no,marketing,low
0.39,480.0,two,160.0,3+,no,yes,no,sales,low
0.11,800.0,six,304.0,4+,no,yes,no,accounting,low
0.83,1000.0,five,240.0,5+,no,yes,no,support,low
0.11,920.0,six,305.0,4+,no,yes,no,technical,low
0.39,500.0,two,136.0,3+,no,yes,no,management,low
0.45,450.0,two,132.0,3+,no,yes,no,marketing,low
0.1,950.0,seven,301.0,4+,no,yes,no,marketing,low
0.9,980.0,five,243.0,6+,no,yes,no,marketing,low
0.45,510.0,two,147.0,3+,no,yes,no,sales,low
0.79,890.0,five,239.0,5+,no,yes,no,sales,low
0.9,990.0,five,260.0,5+,no,yes,no,sales,low
0.11,840.0,seven,296.0,4+,no,yes,no,sales,low
0.43,550.0,two,129.0,3+,no,yes,no,sales,low
0.31,540.0,five,132.0,5+,no,yes,no,sales,low
0.32,500.0,two,135.0,5+,no,yes,no,sales,low
0.45,570.0,two,158.0,3+,no,yes,no,sales,low
0.81,990.0,four,259.0,5+,no,yes,no,sales,low
0.41,460.0,two,160.0,3+,no,yes,yes,sales,low
0.11,780.0,seven,278.0,4+,no,yes,no,sales,low
0.1,880.0,six,284.0,4+,no,yes,no,sales,low
0.7,530.0,two,274.0,4+,no,yes,no,sales,low
0.54,740.0,four,164.0,2+,no,yes,no,sales,low
0.41,480.0,two,148.0,3+,no,yes,no,sales,low
0.38,500.0,two,140.0,3+,no,yes,no,sales,medium
0.37,510.0,two,127.0,3+,no,yes,no,sales,medium
0.11,850.0,six,308.0,5+,no,yes,no,sales,medium
0.4,470.0,two,146.0,3+,no,yes,no,sales,medium
0.1,840.0,six,261.0,4+,no,yes,no,accounting,medium
0.89,990.0,five,257.0,5+,no,yes,no,accounting,medium
0.11,800.0,six,285.0,4+,no,yes,no,accounting,medium
0.36,550.0,two,141.0,3+,no,yes,no,hr,medium
0.4,460.0,two,127.0,3+,no,yes,no,hr,medium
0.09,850.0,six,297.0,4+,no,yes,no,hr,medium
0.4,460.0,two,143.0,3+,no,yes,no,hr,medium
0.37,550.0,two,152.0,3+,no,yes,no,technical,medium
0.44,510.0,two,156.0,3+,no,yes,no,technical,high
0.09,800.0,seven,283.0,5+,no,yes,no,technical,low
0.92,870.0,four,226.0,6+,yes,yes,no,technical,medium
0.74,910.0,four,232.0,5+,no,yes,no,technical,medium
0.09,820.0,six,249.0,4+,no,yes,no,technical,medium
0.89,950.0,four,275.0,5+,no,yes,no,technical,medium
0.09,800.0,six,304.0,4+,no,yes,no,technical,low
0.27,540.0,seven,278.0,3+,no,yes,no,technical,low
0.1,910.0,six,287.0,4+,no,yes,no,technical,low
0.1,890.0,seven,285.0,4+,no,yes,no,technical,low
0.77,940.0,five,226.0,6+,no,yes,no,support,low
0.9,820.0,five,259.0,5+,no,yes,no,support,low
0.39,500.0,two,135.0,3+,no,yes,no,support,low
0.76,1000.0,five,219.0,5+,no,yes,no,support,low
0.1,930.0,six,256.0,4+,no,yes,no,support,low
0.87,900.0,five,254.0,6+,no,yes,no,support,low
0.38,500.0,two,153.0,3+,no,yes,no,support,low
0.77,990.0,five,228.0,5+,no,yes,no,support,low
0.78,870.0,four,228.0,5+,no,yes,no,support,low
0.44,500.0,two,128.0,3+,no,yes,no,support,low
0.38,520.0,two,153.0,3+,no,yes,no,support,low
0.43,460.0,two,156.0,3+,no,yes,no,technical,low
0.39,500.0,four,294.0,3+,no,yes,no,technical,low
0.88,1000.0,five,219.0,5+,no,yes,no,technical,low
0.45,460.0,two,153.0,3+,no,yes,no,management,low
0.4,530.0,two,151.0,3+,no,yes,no,IT,low
0.36,510.0,two,155.0,3+,no,yes,no,IT,low
0.36,480.0,two,158.0,3+,no,yes,no,IT,low
0.9,980.0,five,245.0,5+,no,yes,no,IT,low
0.43,530.0,two,131.0,3+,no,yes,no,IT,low
0.89,870.0,five,225.0,5+,no,yes,no,product_mng,low
0.1,840.0,six,286.0,4+,no,yes,no,product_mng,low
0.37,500.0,two,135.0,3+,no,yes,no,product_mng,low
0.37,510.0,two,153.0,3+,no,yes,no,product_mng,low
0.87,900.0,five,252.0,5+,no,yes,no,IT,low
0.4,560.0,two,149.0,3+,no,yes,no,accounting,low
0.9,970.0,four,258.0,5+,no,yes,no,accounting,low
0.37,460.0,two,158.0,3+,no,yes,no,hr,low
0.44,540.0,two,149.0,3+,no,yes,no,hr,low
0.85,950.0,five,236.0,5+,no,yes,no,hr,low
0.78,980.0,five,239.0,6+,no,yes,no,marketing,low
0.42,470.0,two,159.0,3+,no,yes,no,marketing,low
0.92,990.0,five,255.0,6+,no,yes,no,sales,low
0.11,830.0,six,244.0,4+,no,yes,no,accounting,low
0.42,560.0,two,134.0,3+,no,yes,no,support,low
0.48,570.0,four,270.0,4+,no,yes,no,technical,low
0.83,850.0,four,255.0,5+,no,yes,no,management,low
0.4,530.0,two,151.0,3+,no,yes,no,marketing,low
0.43,450.0,two,135.0,3+,no,yes,no,marketing,low
0.43,530.0,two,146.0,3+,no,yes,no,marketing,low
0.1,970.0,seven,254.0,4+,no,yes,no,sales,low
0.1,870.0,seven,289.0,4+,no,yes,no,sales,low
0.37,460.0,two,156.0,3+,no,yes,no,sales,low
0.38,530.0,two,156.0,3+,no,yes,no,sales,low
0.4,500.0,two,128.0,3+,no,yes,no,sales,low
0.89,860.0,five,275.0,5+,no,yes,no,sales,low
0.45,460.0,two,155.0,3+,no,yes,no,sales,low
0.37,480.0,two,159.0,3+,no,yes,no,sales,low
0.46,490.0,two,148.0,3+,no,yes,no,sales,low
0.87,910.0,four,228.0,5+,no,yes,no,sales,low
0.11,840.0,six,298.0,4+,no,yes,no,sales,low
0.79,870.0,five,261.0,5+,no,yes,no,sales,low
0.79,920.0,five,254.0,6+,no,yes,no,sales,low
0.19,590.0,seven,192.0,3+,no,yes,no,sales,low
0.87,980.0,four,248.0,5+,no,yes,no,sales,low
0.6,920.0,two,258.0,5+,no,yes,no,sales,low
0.44,450.0,two,156.0,3+,no,yes,no,sales,medium
0.11,810.0,six,266.0,4+,yes,yes,no,sales,medium
0.42,540.0,two,156.0,3+,no,yes,no,sales,medium
0.88,880.0,five,232.0,5+,yes,yes,no,accounting,medium
0.11,840.0,six,287.0,4+,no,yes,no,accounting,medium
0.46,460.0,two,154.0,3+,no,yes,no,accounting,medium
0.82,970.0,five,263.0,5+,no,yes,no,hr,medium
0.44,560.0,two,131.0,3+,no,yes,no,hr,medium
0.11,780.0,six,260.0,4+,no,yes,no,hr,medium
0.42,500.0,two,139.0,3+,no,yes,no,hr,medium
0.84,930.0,four,251.0,5+,no,yes,no,technical,medium
0.11,950.0,six,286.0,4+,no,yes,no,technical,medium
0.45,530.0,two,129.0,3+,no,yes,no,technical,high
0.38,560.0,two,156.0,3+,no,yes,no,technical,low
0.38,860.0,six,139.0,6+,no,yes,no,technical,medium
0.44,510.0,two,127.0,3+,no,yes,no,technical,medium
0.11,840.0,six,251.0,4+,no,yes,no,technical,medium
0.81,930.0,five,270.0,5+,no,yes,no,technical,medium
0.09,960.0,six,296.0,4+,no,yes,no,technical,low
0.11,900.0,six,254.0,4+,no,yes,no,technical,low
0.81,950.0,five,238.0,6+,no,yes,no,technical,low
0.1,970.0,six,267.0,4+,yes,yes,no,support,low
0.74,890.0,five,229.0,6+,no,yes,no,support,low
0.09,780.0,six,254.0,4+,no,yes,no,support,low
0.82,810.0,four,233.0,4+,yes,yes,no,support,low
0.1,980.0,six,268.0,4+,no,yes,no,support,low
0.27,560.0,three,301.0,3+,no,yes,no,support,low
0.83,920.0,five,267.0,6+,no,yes,no,support,low
0.1,930.0,six,289.0,4+,yes,yes,no,support,low
0.38,470.0,two,144.0,3+,no,yes,no,support,low
0.4,560.0,two,148.0,3+,no,yes,no,support,low
0.11,830.0,six,306.0,4+,no,yes,no,support,low
0.11,790.0,six,292.0,4+,no,yes,yes,technical,low
0.82,910.0,five,232.0,5+,no,yes,no,technical,low
0.36,480.0,two,137.0,3+,no,yes,no,technical,low
0.4,460.0,two,128.0,3+,no,yes,no,management,low
0.87,840.0,five,231.0,5+,no,yes,no,IT,low
0.41,490.0,two,146.0,3+,no,yes,no,IT,low
0.11,910.0,six,308.0,4+,yes,yes,no,IT,low
0.1,930.0,six,253.0,4+,no,yes,no,IT,medium
0.38,510.0,two,146.0,3+,no,yes,no,IT,medium
0.39,550.0,two,156.0,3+,no,yes,no,product_mng,medium
0.4,520.0,two,147.0,3+,no,yes,no,product_mng,medium
0.45,480.0,two,136.0,3+,no,yes,no,product_mng,medium
0.74,840.0,five,249.0,5+,no,yes,no,product_mng,medium
0.45,550.0,two,151.0,3+,no,yes,no,IT,medium
0.12,1000.0,three,278.0,4+,no,yes,no,RandD,medium
0.1,770.0,seven,250.0,5+,no,yes,no,RandD,medium
0.37,550.0,two,127.0,3+,no,yes,no,RandD,medium
0.89,870.0,five,255.0,5+,no,yes,no,RandD,medium
0.45,470.0,two,135.0,3+,no,yes,no,RandD,medium
0.37,460.0,two,149.0,3+,no,yes,no,marketing,high
0.11,810.0,five,287.0,4+,no,yes,no,sales,low
0.41,480.0,two,145.0,3+,no,yes,no,accounting,medium
0.1,940.0,six,285.0,4+,no,yes,no,support,medium
0.1,930.0,seven,305.0,4+,no,yes,no,technical,medium
0.11,950.0,seven,300.0,4+,no,yes,no,management,medium
0.4,540.0,two,139.0,3+,no,yes,no,marketing,low
0.41,490.0,two,130.0,3+,no,yes,no,marketing,low
0.1,810.0,six,268.0,4+,no,yes,no,marketing,low
0.73,860.0,four,245.0,6+,no,yes,no,sales,low
0.43,470.0,two,135.0,3+,no,yes,no,sales,low
0.37,460.0,two,153.0,3+,no,yes,no,sales,low
0.11,940.0,six,276.0,4+,no,yes,no,sales,low
0.4,460.0,two,130.0,3+,no,yes,no,sales,low
0.41,540.0,two,153.0,3+,yes,yes,no,sales,low
0.82,840.0,five,244.0,5+,no,yes,no,sales,low
0.61,470.0,two,253.0,3+,no,yes,no,sales,low
0.11,910.0,seven,287.0,4+,no,yes,no,sales,low
0.37,450.0,two,131.0,3+,no,yes,no,sales,low
0.41,520.0,two,135.0,3+,no,yes,no,sales,low
0.37,520.0,two,157.0,3+,no,yes,no,sales,low
0.88,990.0,five,262.0,6+,no,yes,no,sales,low
0.1,850.0,six,266.0,4+,no,yes,no,sales,low
0.44,480.0,two,148.0,3+,no,yes,no,sales,low
0.38,570.0,two,140.0,3+,no,yes,no,sales,low
0.11,850.0,seven,302.0,4+,no,yes,no,sales,low
0.09,980.0,six,271.0,4+,no,yes,no,sales,low
0.45,520.0,two,145.0,3+,no,yes,no,sales,medium
0.1,810.0,six,290.0,4+,no,yes,no,accounting,medium
0.45,470.0,two,151.0,3+,no,yes,no,accounting,medium
0.77,870.0,five,266.0,5+,no,yes,no,accounting,medium
0.44,510.0,two,140.0,3+,no,yes,no,hr,medium
0.39,500.0,two,142.0,3+,no,yes,no,hr,medium
0.1,910.0,six,246.0,4+,no,yes,no,hr,medium
0.09,890.0,seven,308.0,5+,no,yes,no,hr,medium
0.37,470.0,two,141.0,3+,no,yes,no,technical,medium
0.9,1000.0,five,232.0,5+,no,yes,no,technical,medium
0.41,560.0,two,143.0,3+,no,yes,no,technical,medium
0.37,520.0,two,155.0,3+,no,yes,no,technical,medium
0.1,860.0,six,278.0,4+,no,yes,no,technical,high
0.81,1000.0,four,253.0,5+,no,yes,no,technical,low
0.11,800.0,six,282.0,4+,no,yes,no,technical,medium
0.11,840.0,seven,264.0,4+,no,yes,no,technical,medium
0.4,460.0,two,149.0,3+,no,yes,no,technical,medium
0.09,800.0,six,304.0,5+,no,yes,no,technical,medium
0.48,930.0,three,219.0,6+,no,yes,no,technical,low
0.91,910.0,four,262.0,6+,no,yes,no,support,low
0.43,570.0,two,135.0,3+,no,yes,no,support,low
0.33,880.0,six,219.0,5+,no,yes,no,support,low
0.41,570.0,two,136.0,3+,no,yes,no,support,low
0.41,550.0,two,154.0,3+,no,yes,no,support,low
0.37,540.0,two,149.0,3+,no,yes,no,support,low
0.31,620.0,six,135.0,5+,no,yes,no,support,low
0.09,910.0,six,275.0,4+,no,yes,no,support,low
0.1,870.0,six,290.0,4+,no,yes,no,support,low
0.76,900.0,four,263.0,5+,no,yes,no,support,low
0.41,540.0,two,145.0,3+,no,yes,no,support,low
0.72,960.0,five,267.0,5+,no,yes,no,technical,low
0.4,500.0,two,141.0,3+,yes,yes,no,technical,low
0.91,870.0,four,235.0,5+,no,yes,no,technical,low
0.1,830.0,six,258.0,4+,no,yes,no,management,low
0.4,560.0,two,131.0,3+,no,yes,no,IT,low
0.82,860.0,five,243.0,5+,no,yes,no,IT,low
0.1,820.0,six,266.0,4+,no,yes,no,IT,low
0.37,450.0,two,142.0,3+,no,yes,no,IT,low
0.36,510.0,two,135.0,3+,no,yes,no,IT,low
0.39,480.0,two,141.0,3+,no,yes,no,product_mng,medium
0.36,570.0,two,142.0,3+,no,yes,no,product_mng,medium
0.86,840.0,five,254.0,5+,no,yes,no,product_mng,medium
0.73,990.0,five,262.0,5+,no,yes,no,product_mng,medium
0.56,710.0,four,296.0,2+,no,yes,no,IT,medium
0.44,560.0,two,158.0,3+,no,yes,no,accounting,medium
0.31,560.0,four,238.0,2+,no,yes,no,accounting,medium
0.77,930.0,four,231.0,5+,no,yes,no,hr,medium
0.44,450.0,two,156.0,3+,no,yes,no,hr,medium
0.38,460.0,two,145.0,3+,no,yes,no,hr,medium
0.45,480.0,two,144.0,3+,no,yes,no,marketing,medium
0.38,510.0,two,159.0,3+,no,yes,no,sales,medium
0.36,480.0,two,156.0,3+,no,yes,no,accounting,high
0.75,900.0,five,256.0,5+,no,yes,no,support,low
0.1,930.0,six,298.0,4+,no,yes,no,technical,medium
0.1,970.0,six,247.0,4+,no,yes,no,management,medium
0.45,500.0,two,157.0,3+,no,yes,no,marketing,medium
0.42,570.0,two,154.0,3+,yes,yes,no,marketing,medium
0.78,1000.0,four,253.0,5+,no,yes,no,marketing,low
0.45,550.0,two,148.0,3+,no,yes,no,sales,low
0.84,1000.0,four,261.0,5+,no,yes,no,sales,low
0.11,930.0,six,282.0,4+,no,yes,no,sales,low
0.42,560.0,two,133.0,3+,no,yes,no,sales,low
0.45,460.0,two,128.0,3+,no,yes,no,sales,low
0.46,570.0,two,139.0,3+,no,yes,no,sales,low
0.09,790.0,six,293.0,5+,no,yes,no,sales,low
0.87,830.0,four,265.0,6+,no,yes,no,sales,low
0.1,870.0,six,250.0,4+,no,yes,no,sales,low
0.91,1000.0,five,251.0,6+,no,yes,no,sales,low
0.76,920.0,four,246.0,5+,no,yes,no,sales,low
0.74,1000.0,five,275.0,5+,no,yes,no,sales,low
0.92,930.0,five,240.0,5+,no,yes,no,sales,low
0.76,870.0,five,245.0,5+,no,yes,no,sales,low
0.47,500.0,four,254.0,4+,no,yes,no,sales,low
0.73,990.0,five,241.0,5+,no,yes,no,sales,low
0.09,940.0,six,257.0,4+,no,yes,no,sales,low
0.91,920.0,four,246.0,5+,no,yes,no,sales,low
0.82,980.0,four,233.0,5+,no,yes,no,sales,low
0.28,450.0,six,218.0,4+,no,yes,no,accounting,low
0.84,990.0,four,262.0,6+,no,yes,no,accounting,medium
0.45,530.0,two,138.0,3+,no,yes,no,accounting,medium
0.45,540.0,two,142.0,3+,no,yes,no,hr,medium
0.91,970.0,five,233.0,5+,no,yes,no,hr,medium
0.42,480.0,two,155.0,3+,no,yes,no,hr,medium
0.82,1000.0,four,229.0,6+,no,yes,no,hr,medium
0.11,900.0,six,264.0,4+,no,yes,no,technical,medium
0.42,530.0,three,199.0,4+,no,yes,no,technical,medium
0.82,850.0,four,223.0,5+,no,yes,no,technical,medium
0.09,960.0,six,268.0,4+,no,yes,no,technical,medium
0.1,940.0,six,287.0,4+,no,yes,no,technical,medium
0.86,1000.0,five,257.0,5+,no,yes,no,technical,medium
0.4,460.0,two,143.0,3+,no,yes,no,technical,high
0.45,460.0,two,130.0,3+,no,yes,no,technical,low
0.42,510.0,two,136.0,3+,no,yes,no,technical,medium
0.74,920.0,four,261.0,5+,no,yes,no,technical,medium
0.55,600.0,three,180.0,4+,no,yes,no,technical,medium
0.37,450.0,two,126.0,3+,no,yes,no,support,medium
0.41,520.0,two,127.0,3+,yes,yes,no,support,low
0.89,650.0,five,195.0,6+,no,yes,no,support,low
0.41,570.0,two,160.0,3+,no,yes,no,support,low
0.44,510.0,two,150.0,3+,no,yes,no,support,low
0.87,840.0,four,264.0,6+,no,yes,no,support,low
0.1,840.0,six,309.0,4+,no,yes,no,support,low
0.41,470.0,two,135.0,3+,no,yes,no,support,low
0.11,850.0,six,261.0,4+,no,yes,no,support,low
0.43,530.0,two,160.0,3+,no,yes,no,support,low
0.77,900.0,four,237.0,5+,no,yes,no,support,low
0.41,520.0,two,136.0,3+,no,yes,no,technical,low
0.41,480.0,two,139.0,3+,no,yes,no,technical,low
0.36,780.0,two,151.0,4+,no,yes,no,technical,low
0.77,1000.0,five,229.0,5+,no,yes,no,management,low
0.81,980.0,five,245.0,5+,no,yes,no,IT,low
0.39,540.0,two,127.0,3+,no,yes,no,IT,low
0.09,940.0,six,283.0,5+,no,yes,no,IT,low
0.44,460.0,two,143.0,3+,no,yes,no,IT,low
0.1,840.0,five,298.0,4+,no,yes,no,IT,low
0.36,480.0,two,159.0,3+,no,yes,no,product_mng,low
0.81,920.0,five,239.0,5+,no,yes,no,product_mng,low
0.81,900.0,four,226.0,5+,no,yes,no,product_mng,medium
0.85,980.0,five,248.0,5+,no,yes,no,product_mng,medium
0.1,870.0,six,286.0,4+,no,yes,no,IT,medium
0.37,540.0,two,145.0,3+,no,yes,no,RandD,medium
0.09,970.0,seven,254.0,4+,yes,yes,no,RandD,medium
0.44,530.0,two,127.0,3+,no,yes,no,RandD,medium
0.86,930.0,five,223.0,5+,no,yes,no,RandD,medium
0.77,1000.0,four,255.0,5+,no,yes,no,RandD,medium
0.41,480.0,two,136.0,3+,no,yes,no,marketing,medium
0.4,480.0,two,137.0,3+,no,yes,no,sales,medium
0.43,490.0,two,135.0,3+,no,yes,no,accounting,medium
0.43,500.0,two,137.0,3+,no,yes,no,support,medium
0.8,530.0,three,255.0,5+,no,yes,no,technical,high
0.8,850.0,four,273.0,5+,no,yes,no,management,low
0.82,980.0,five,234.0,5+,no,yes,no,marketing,medium
0.37,540.0,two,152.0,3+,no,yes,no,marketing,medium
0.37,480.0,two,134.0,3+,no,yes,no,marketing,medium
0.09,950.0,six,292.0,4+,no,yes,no,sales,medium
0.9,920.0,five,245.0,5+,no,yes,no,sales,low
0.41,520.0,two,159.0,3+,no,yes,no,sales,low
